res_9,Health Care Systems,Food Access Systems,Emergency Systems,Education Systems,Financial Systems,Public Transport,Green Spaces Systems,Food and beverages,Other Systems,gross_amenity_score
891955d8123ffff,1,,,,,,,,,1
89195882e53ffff,2,,,,,,,,,2
89195d4691bffff,2,2,,,,,,1,1,4.1
89195da4b93ffff,1,1,,,,,,2,,2.3
891972002d3ffff,2,,,,,,,,,2
89197201933ffff,1,,,,,,,,,1
891972744b3ffff,1,,,,,,,,,1
89182501343ffff,1,,,,,,,,,1
89182c1a907ffff,1,,,1,,,,,,1.8
89194ad2363ffff,1,,,,,,,,,1
89195104043ffff,1,,,,,,,,,1
8919518b30bffff,1,,,,,,,,,1
891951b432fffff,1,,,,,,,,,1
891951b601bffff,1,,,1,,,,,,1.8
89195d36cb7ffff,1,1,,,,,,,1,2
89195da5b73ffff,1,,,,,,,,,1
8919762968bffff,1,,,,,,,,,1
8919768c9abffff,2,,,,,,,,,2
89182c2ca6bffff,,1,,,,,,1,,1.1
89182ec060bffff,,1,,,,,,,,0.9
891909a64dbffff,,1,,,,,,,,0.9
8919421a803ffff,,1,,,,,,,,0.9
8919421b38bffff,,1,,,,,,,,0.9
8919422a433ffff,,1,,,,,,,1,1
89194254b97ffff,,1,,,,,,1,,1.1
891942583cbffff,,1,,,,,,,,0.9
8919425a5dbffff,,1,,,,,,,,0.9
89194304a37ffff,,1,,,,,,,,0.9
89194325e1bffff,,1,,,,,,,,0.9
8919434db23ffff,,1,,,,,,2,,1.3
89194a796b3ffff,,2,,,,,,,,1.8
89194a82083ffff,,1,,,,,,,,0.9
89194ad22bbffff,,1,,,,,,1,,1.1
89194ad323bffff,,1,,,,,,1,,1.1
89194e61e0fffff,,2,,,,,,1,,2
89194e65d4bffff,,1,,,,,,,1,1
89194ec1527ffff,,1,,,,,,,,0.9
891951046cfffff,,2,,,,,,,,1.8
89195185edbffff,,2,,,,,,,1,1.9
891951aaca3ffff,,1,,,,,,1,,1.1
891951b33c7ffff,,1,,,,,,,,0.9
891951b595bffff,,1,,,,,,4,,1.7
891951b71cfffff,,1,,,,,,,,0.9
891951b7333ffff,,1,,,,,,1,,1.1
891951d6a97ffff,,1,,,,,,,,0.9
891959b5a4bffff,,1,,,,,,,1,1
89195c06b0fffff,,1,,,,,,,,0.9
89195c3aa47ffff,,1,,,,,,1,1,1.2
89195d2a0bbffff,,1,,,,,,,,0.9
89195d726c7ffff,,1,,,,,,,,0.9
89195d86dd7ffff,,1,,,,,,,1,1
89195da06c7ffff,,1,,,,,,,,0.9
89195da4eabffff,,1,,,,,,,,0.9
891972396a3ffff,,1,,,,,,,1,1
891972793cbffff,1,1,,,,,,,,1.9
89197290183ffff,,1,,,,,,1,,1.1
891973352cfffff,,2,,,,,,,,1.8
8919733626fffff,,1,,,,,,,,0.9
8918238dc4fffff,,,,,,,,,1,0.1
89182c16c6fffff,,,,,,,,,1,0.1
891909ac1abffff,,,,,,,,,1,0.1
891942cd527ffff,,,,,,,,,1,0.1
89195194e67ffff,,,,,,,,,1,0.1
8919566e867ffff,,,,,,,,,1,0.1
891959a9837ffff,,,,,,,,,1,0.1
89195daed4bffff,,,,,,,,,1,0.1
8919587a3dbffff,,,,1,,,,,,0.8
89182a6f49bffff,,,,1,,,,1,,1
891942082c3ffff,,,,1,,,,,,0.8
891948c18bbffff,,,,1,,,,,,0.8
89194ad8b27ffff,,,,1,,,,,,0.8
8919510633bffff,,,,1,,,,,,0.8
891951b29a7ffff,,,,1,,,,,,0.8
89195822167ffff,,,,1,,,,,,0.8
89195b5248fffff,1,,,1,,,,,,1.8
89195d09e87ffff,,,,1,,,,,,0.8
8919732718bffff,,,,1,,,,,1,0.9
