res_7,num_shops
87195520cffffff,0
8719566ccffffff,0
871958a19ffffff,0
871958b28ffffff,0
871958b6affffff,0
871958c4affffff,0
871958d93ffffff,0
87195a890ffffff,0
87195b8caffffff,0
87195c163ffffff,0
87195c628ffffff,0
87195c774ffffff,0
87197325effffff,0
8719422adffffff,0
87194266affffff,0
871943073ffffff,0
87194a105ffffff,0
87194ed0dffffff,0
8719519a2ffffff,0
871958682ffffff,0
8719593b5ffffff,0
87195a4a9ffffff,0
871955391ffffff,0
8719012a4ffffff,0
8719296adffffff,0
871946712ffffff,0
871946cdeffffff,0
871973301ffffff,0
871959159ffffff,0
871941a12ffffff,0
87195c044ffffff,0
8719281b1ffffff,0
871805946ffffff,0
871821d8dffffff,0
87182879dffffff,0
871909aa4ffffff,0
87194218dffffff,0
8719463a5ffffff,0
8719510c1ffffff,0
87195315dffffff,0
87195535affffff,0
871958628ffffff,0
8719586e0ffffff,0
871959949ffffff,0
87195c06bffffff,0
87195d00cffffff,0
87195d0c1ffffff,0
87195d956ffffff,0
87195dba9ffffff,0
871951a54ffffff,0
87195d344ffffff,0
871825c63ffffff,0
871942568ffffff,0
871951064ffffff,0
871954a5affffff,0
87195d90affffff,0
871942616ffffff,0
87182aae5ffffff,0
871942044ffffff,0
871942b9affffff,0
87194a44cffffff,0
87195cbb6ffffff,0
87182572affffff,0
871825ad4ffffff,0
871874ae8ffffff,0
87194252cffffff,0
871942a0bffffff,0
871942d01ffffff,0
871943261ffffff,0
871943935ffffff,0
87194642effffff,0
871946761ffffff,0
87194e84dffffff,0
87194e910ffffff,0
87194e984ffffff,0
871951365ffffff,0
8719556acffffff,0
8719566d2ffffff,0
871958cadffffff,0
87195a108ffffff,0
87195ac5affffff,0
87195c0deffffff,0
871874383ffffff,0
8719428aaffffff,0
8719436aaffffff,0
87194852cffffff,0
87195d6f2ffffff,0
871801a6affffff,0
871805832ffffff,0
871943752ffffff,0
87187414bffffff,0
87190898cffffff,0
87195c84effffff,0
8719402c4ffffff,0
871946560ffffff,0
87182a31bffffff,0
871874acdffffff,0
871958418ffffff,0
871948500ffffff,0
87194e233ffffff,0
871959a21ffffff,0
87195c2a3ffffff,0
87182992affffff,0
8718214edffffff,0
87182c694ffffff,0
87182c88cffffff,0
8718740c1ffffff,0
871909999ffffff,0
87190d466ffffff,0
8719434a4ffffff,0
871946c95ffffff,0
87194aca9ffffff,0
8719528eeffffff,0
871955752ffffff,0
871959b8dffffff,0
871959d63ffffff,0
87195aaaeffffff,0
87195d260ffffff,0
87195d8a5ffffff,0
87195dbb3ffffff,0
871972889ffffff,0
87195bc63ffffff,0
87182a30affffff,0
871942012ffffff,0
87195c349ffffff,0
87195c766ffffff,0
87195c452ffffff,0
8718288d8ffffff,0
871942894ffffff,0
8719433b0ffffff,0
87194399affffff,0
871972ceeffffff,0
87182cdaaffffff,0
87182e413ffffff,0
87195a16cffffff,0
8719413b5ffffff,0
871942b84ffffff,0
87194a08dffffff,0
87194e7b3ffffff,0
871955675ffffff,0
871959143ffffff,0
87195cd74ffffff,0
87195d6e8ffffff,0
871972625ffffff,0
87182306bffffff,0
871825aa8ffffff,0
871928033ffffff,0
87194041effffff,0
871941080ffffff,0
87194108effffff,0
8719410e3ffffff,0
871941560ffffff,0
871942103ffffff,0
87194238effffff,0
871942560ffffff,0
871946325ffffff,0
871948cacffffff,0
87194a01dffffff,0
87194ec10ffffff,0
87195250bffffff,0
871952d43ffffff,0
87195445effffff,0
871955d85ffffff,0
87195931cffffff,0
8719598b6ffffff,0
871959a9effffff,0
87195a10bffffff,0
87195bb18ffffff,0
87195c22effffff,0
87195ca0bffffff,0
87195cb01ffffff,0
87195cc70ffffff,0
871973202ffffff,0
871973665ffffff,0
